icao,name,lat,lon,elev_ft,type,country
EDFL,Gießen-Lützellinden Airfield,50.54479,8.59275,755,small_airport,DE
EDFM,Mannheim-City Airport,49.47306,8.51417,308,medium_airport,DE
EDFN,Marburg-Schönstadt Airfield,50.87444,8.815,833,small_airport,DE
EDFO,Michelstadt-Odenwald Airfield,49.67847,8.97161,1142,small_airport,DE
EDFP,Ober-Mörlen Airfield,50.3622,8.71164,822,small_airport,DE
EDFQ,Allendorf-Eder Airfield,51.03527,8.681,1158,small_airport,DE
EDFR,Rothenburg ob der Tauber Airfield,49.38894,10.21856,1309,small_airport,DE
EDFS,Schweinfurt South Airfield,50.01083,10.25111,686,small_airport,DE
EDFT,Lauterbach Airfield,50.68367,9.4117,1211,small_airport,DE
EDFU,Mainbullau Airfield,49.69504,9.18236,1503,small_airport,DE
EDFV,Worms Airfield,49.60695,8.36833,295,small_airport,DE
EDFW,Würzburg-Schenkenturm Airfield,49.81778,9.8975,991,small_airport,DE
EDFX,Hockenheim Airfield,49.32528,8.52861,315,small_airport,DE
EDFY,Limburg-Elz Airfield,50.42695,8.01111,699,small_airport,DE
EDFZ,Mainz-Finthen Airfield,49.9675,8.14722,760,medium_airport,DE
EDGA,Ailertchen Airfield,50.59306,7.945,1542,small_airport,DE
EDGB,Breitscheid Airfield,50.67639,8.16944,1834,small_airport,DE
EDGE,Eisenach-Kindel Airport,50.9916,10.47973,1112,medium_airport,DE
EDGF,Fulda-Jossa Airfield,50.47528,9.44322,1558,small_airport,DE
EDGH,Hettstadt Airfield,49.79861,9.83667,1050,small_airport,DE
EDGI,Ingelfingen-Bühlhof Airfield,49.32167,9.66306,1375,small_airport,DE
EDGJ,Ochsenfurt Airfield,49.67361,10.07139,814,small_airport,DE
EDGK,Korbach Airfield,51.25222,8.87361,1280,small_airport,DE
EDGM,Mosbach-Lohrbach Airfield,49.39889,9.12389,1818,small_airport,DE
EDGP,Oppenheim Airfield,49.84167,8.37667,279,small_airport,DE
EDGQ,Schameder Airfield,51.00027,8.30914,1788,small_airport,DE
EDGR,Gießen-Reiskirchen Airfield,50.56638,8.86916,702,small_airport,DE
EDGS,Siegerland Airport,50.7077,8.08297,1966,medium_airport,DE
EDGT,Bottenhorn Airfield,50.79528,8.45833,1657,small_airport,DE
EDGU,Unterschüpf Airfield,49.51584,9.66944,1155,small_airport,DE
EDGW,Flugplatz „Graner Berg“,51.30722,9.17528,1027,small_airport,DE
EDGX,Walldorf Airfield,49.30306,8.65889,344,small_airport,DE
EDGY,Kitzingen Airfield,49.74429,10.20731,689,small_airport,DE
EDGZ,Weinheim/Bergstraße Airfield,49.56676,8.61145,318,small_airport,DE
EDHB,Grube Airfield,54.24445,11.02472,7,small_airport,DE
EDHC,Lüchow-Rehbeck Airfield,53.01716,11.14473,49,small_airport,DE
EDHD,Eichsfeld Airfield,51.40755,10.1453,1195,small_airport,DE
EDHE,Uetersen-Heist Airfield,53.64548,9.7035,23,small_airport,DE
EDHF,Itzehoe Hungriger Wolf Airfield,53.99201,9.57641,89,small_airport,DE
EDHG,Lüneburg Airfield,53.24832,10.45871,161,small_airport,DE
EDHI,Hamburg-Finkenwerder Airport,53.53528,9.83556,23,medium_airport,DE
EDHK,Kiel-Holtenau Airport,54.37957,10.14527,102,medium_airport,DE
EDHL,Lübeck Blankensee Airport,53.8054,10.7192,53,medium_airport,DE
EDHM,Hartenholm Airfield,53.915,10.03556,108,small_airport,DE
EDHN,Neumünster Airport,54.07944,9.94139,72,small_airport,DE
EDHO,Ahrenlohe Airfield,53.70031,9.74212,33,small_airport,DE
EDHS,Stade Airfield,53.56111,9.49917,63,small_airport,DE
EDHU,Lauenbrück Airfield,53.2075,9.57333,98,small_airport,DE
EDHW,Wahlstedt Airfield,53.96944,10.22167,128,small_airport,DE
EDHY,Hoya Airfield,52.8119,9.1638,53,small_airport,DE
EDJA,Memmingen Allgau Airport,47.98809,10.23825,2077,large_airport,DE
EDJG,Grabenstätt Airfield,47.85276,12.55037,1765,small_airport,DE
EDKA,Aachen-Merzbrück Airport,50.82305,6.18639,623,small_airport,DE
EDKB,Bonn-Hangelar Airfield,50.76889,7.16333,197,small_airport,DE
EDKD,Altena-Hegenscheid Airfield,51.31246,7.70413,1552,small_airport,DE
EDKF,Bergneustadt-Auf dem Dümpel Airfield,51.05209,7.70683,1604,small_airport,DE
EDKH,Hünsborn Airfield,50.92861,7.89917,1306,small_airport,DE
EDKI,Betzdorf-Kirchen Airfield,50.81722,7.83056,1125,small_airport,DE
EDKL,Leverkusen Airfield,51.01528,7.00556,157,small_airport,DE
EDKM,Meschede-Schüren Airfield,51.30278,8.23917,1434,small_airport,DE
EDKN,Wipperfürth-Neye Airfield,51.12417,7.37361,863,small_airport,DE
EDKO,Brilon-Hochsauerland Airfield,51.40283,8.64304,1509,small_airport,DE
EDKP,Plettenberg-Hüinghausen Airfield,51.19188,7.79098,981,small_airport,DE
EDKR,Schmallenberg-Rennefeld Airfield,51.1615,8.26067,1530,small_airport,DE
EDKS,Iserlohn-Sümmern Glider Field,51.43639,7.69972,591,small_airport,DE
EDKU,Attendorn-Finnentrop Airfield,51.14583,7.93667,1040,small_airport,DE
EDKV,Dahlemer Binz Airfield,50.40611,6.53026,1896,small_airport,DE
EDKW,Werdohl-Küntrop Airfield,51.29722,7.81833,1037,small_airport,DE
EDKZ,Meinerzhagen Airfield,51.0994,7.5969,1549,small_airport,DE
EDLA,Arnsberg-Menden Airfield,51.48389,7.89833,794,small_airport,DE
EDLB,Borkenberge Airfield,51.78,7.28806,157,small_airport,DE
EDLC,Kamp-Lintfort Airfield,51.52917,6.53611,85,small_airport,DE
EDLD,Dinslaken-Schwarze Heide Airfield,51.61602,6.86126,217,small_airport,DE
EDLE,Essen-Mülheim Airport,51.4023,6.93733,424,small_airport,DE
EDLF,Grefrath-Niershorst Airfield,51.33389,6.35944,105,small_airport,DE
EDLG,Goch-Asperden Airfield,51.69083,6.10417,52,small_airport,DE
EDLH,Hamm-Lippewiesen Airfield,51.68972,7.81611,190,small_airport,DE
EDLI,Bielefeld Airport,51.96472,8.54444,454,medium_airport,DE
EDLJ,Detmold Airfield,51.94083,8.90472,650,small_airport,DE
EDLK,Krefeld-Egelsberg Airfield,51.385,6.58778,141,small_airport,DE
EDLM,Marl-Loemühle Airfield,51.6472,7.16333,240,small_airport,DE
EDLN,Mönchengladbach Airport,51.23028,6.50444,125,medium_airport,DE
EDLO,Oerlinghausen Airfield,51.93222,8.66167,558,small_airport,DE
EDLP,Paderborn Lippstadt Airport,51.61253,8.61746,699,large_airport,DE
EDLQ,Beelen Airfield,51.93167,8.08167,,small_airport,DE
EDLR,Paderborn-Haxterberg Airfield,51.68833,8.77528,801,small_airport,DE
EDLS,Stadtlohn-Vreden Airfield,51.99583,6.84056,157,small_airport,DE
EDLT,Münster-Telgte Airfield,51.94474,7.77362,177,small_airport,DE
EDLU,Oelde Bergeler Airfield,51.8306,8.17472,269,small_airport,DE
EDLV,Weeze (Niederrhein) Airport,51.60136,6.14123,106,large_airport,DE
EDLW,Dortmund Airport,51.5183,7.61224,425,large_airport,DE
EDLX,Wesel-Römerwardt Airfield,51.66278,6.59583,72,small_airport,DE
EDLY,Borken-Hoxfeld Airfield,51.85333,6.81472,157,small_airport,DE
EDLZ,Soest-Bad Sassendorf Airfield,51.57806,8.21472,394,small_airport,DE
EDMA,Augsburg Airport,48.42528,10.93167,1516,medium_airport,DE
EDMB,Biberach an der Riß Airfield,48.11236,9.76401,1903,small_airport,DE
EDMC,Blaubeuren Airfield,48.41972,9.79833,2218,small_airport,DE
